Experiment,Adap_time,Adap_loss
A,1.16,5.348070323467255
B,1.46,5.885402798652649
C,1.07,10.784759044647217
C,3.76,11.18526816368103
B,0.88,5.201342463493346
A,0.82,5.1393619775772095
A,2.29,5.499135673046112
B,1.86,5.217501163482666
C,0.98,10.327054262161257
A,1.06,5.177987694740295
A,4.73,5.188413143157959
A,3.84,4.730516965236139
A,1.84,4.70564762386707
A,1.27,4.742299741196705
A,1.0,4.758537769317627
A,0.81,4.827721351512711
A,9.61,1.801440717794844
A,42.68,0.3203065148369617
A,5.09,2.7562043083552554
A,7.78,1.8303038075065032
A,4.09,2.816079218453224
B,4.47,1.4820645526279368
C,3.99,6.457078764562577
C,21.35,3.574138831700977
C,52.33,3.1265355837722457
C,70.28,1.6711818638049145
